id,name,degree,year
1iqft5n8t-15c8ire,Advanced Programming,Bachelor,2
1iqft5n9d-5ta0va,Algebraic Foundations of Computer Science,Bachelor,1
1iqft5n9u-1ccssie,Algorithm Design,Bachelor,1
1iqft5nas-39i085,Analiza experimentala a algoritmilor,Master,1
1iqft5nbd-1d8imb1,Analiza reţelelor media sociale,Bachelor,3
1iqft5nc3-kubhtl,Antreprenoriat şi inovare în IT,Bachelor,2
1iqft5nck-1dv5idm,Aspecte Computationale in Teoria Numerelor,Bachelor,3
1iqft5nd4-1m56jn0,"Aspecte pragmatice pentru ingineria serviciilor cloud: arhitecturi, procese și practici",Master,1
1iqft5ndq-klql39,Calcul Numeric,Bachelor,3
1iqft5nec-klpmip,Calitatea Sistemelor Software,Master,1
1iqft5nf0-1eu7frg,Capitole Avansate in Vedere Artificiala (Computer Vision),Master,1
1iqft5nff-demgt5,Capitole Speciale de Invatare Automata,Master,1
1iqft5ngc-ig2d0m,Cercetare Formala I,Master,1
1iqft5ngs-52v8qh,Cloud Computing,Bachelor,3
1iqft5nhd-15a4dpq,Computer Graphics and Computational Geometry,Bachelor,3
1iqft5nio-1diqe68,DBMS Practice,Bachelor,2
1iqft5nj9-16d3coe,Data Mining,Master,1
1iqft5njq-1ikm2me,Didactica Specializarii,Bachelor,2
1iqft5nkg-t3s8jt,Educatie Fizica,Bachelor,1
1iqft5nkg-1hfpbvj,Educatie Fizica,Bachelor,2
1iqft5nl0-21br0h,English 2,Bachelor,1
1iqft5nli-49tqvn,English 4,Bachelor,2
1iqft5nm2-1utbus9,Etica si Integritate Academica,Master,2
1iqft5nml-14lethh,Fundamentele Algebrice ale Informaticii,Bachelor,1
1iqft5nn8-nr1pl9,Grafica pe calculator si geometrie computationala,Bachelor,3
1iqft5npa-1ftjtcj,Ingineria programarii,Bachelor,2
1iqft5npq-1nrl4k5,Inginerie Software Specifica Automobilelor,Bachelor,3
1iqft5nqa-1em5b2v,Interactiune om-calculator,Bachelor,3
1iqft5nqp-16k2r7a,Internship,Bachelor,3
1iqft5nra-1jhns0s,Introducere in Criptografie,Bachelor,2
1iqft5nrr-t3rc4l,Introducere in Internetul Lucrurilor,Bachelor,3
1iqft5nsf-tcr22c,Limba engleza 2,Bachelor,1
1iqft5nt2-1ev1e2g,Limba engleza 4,Bachelor,2
1iqft5ntj-ai7251,Limbaje de scripturi,Master,1
1iqft5nu5-c8bmjp,Managementul Clasei de Elevi,Bachelor,3
1iqft5nul-16jf0q7,Modelarea Sistemelor Distribuite,Master,1
1iqft5nv7-10cs9pr,Numerical Calculus,Bachelor,3
1iqft5nvq-qkpasn,Object Oriented Programming,Bachelor,1
1iqft5o0a-kneipn,Operating Systems,Bachelor,1
1iqft5o0p-cj6art,Pedagogie 1,Bachelor,1
1iqft5o28-1gv7gmf,Practica SGBD,Bachelor,2
1iqft5o2u-1l0vk7n,Practica de Specialitate,Bachelor,3
1iqft5o3o-kcgv23,Practica profesionala/cercetare,Master,2
1iqft5o4a-9urmf6,Prelucrarea Statistica a Limbajului Natural,Master,1
1iqft5o4r-aerttv,Prelucrarea Vorbirii si Sisteme Fuzzy,Master,1
1iqft5o5f-1irdv5p,Probabilitati si statistica,Bachelor,1
1iqft5o61-1hvn30p,Probabilities and Statistics,Bachelor,1
1iqft5o6i-shd4ge,Programare Competitiva,Bachelor,1
1iqft5o74-sk2bu8,Programare Funcțională,Bachelor,2
1iqft5o7p-ir9hlp,Programare avansată,Bachelor,2
1iqft5o8a-1aiv7v7,Programare concurentă şi distribuită,Master,1
1iqft5o91-1fv7ftu,Programare orientata-obiect,Bachelor,1
1iqft5o9q-1etknd0,Proiectarea algoritmilor,Bachelor,1
1iqft5oah-r77eg4,Proiectarea jocurilor,Bachelor,3
1iqft5ob3-61p59m,Protocoale de securitate. Modelare si verificare.,Master,1
1iqft5obk-8jbn3o,Psihologia Comunicarii Profesionale in Domeniul IT-ului,Bachelor,3
1iqft5oc5-1320fvs,Retele Petri si Aplicatii,Bachelor,3
1iqft5odj-81b5gt,Securitate IoT,Master,1
1iqft5oe2-dgjl84,Securitatea Retelelor de Calculatoare,Master,1
1iqft5oel-1vvadk5,Sisteme Bazate pe Evenimente,Master,1
1iqft5of5-1a1bbll,Sisteme Embedded,Bachelor,2
1iqft5ofn-946oei,Sisteme bazate pe cunoștințe,Bachelor,3
1iqft5og9-cui5tn,Sisteme de Dialog si Asistenti Virtuali,Master,1
1iqft5ogu-1re2q12,Sisteme de Operare,Bachelor,1
1iqft5ohh-puhnd1,Smart Card-uri si Aplicatii,Bachelor,3
1iqft5oi4-g825h9,Software Engineering,Bachelor,2
1iqft5oin-ugae7c,Specificarea şi verificarea sistemelor,Master,1
1iqft5oj8-15cf1fo,Tehnici de Programare pe Platforme Mobile,Bachelor,3
1iqft5ojn-od05t9,Tehnici de procesarea limbajului natural,Bachelor,3
1iqft5okc-7its0d,Tehnologii Web,Bachelor,2
1iqft5okt-jl78vg,Topici avansate in .NET,Bachelor,3
1iqft5olf-b0t61p,Tutoriat,Bachelor,2
1iqft5olf-69v267,Tutoriat,Bachelor,3
1iqft5olg-s97m4u,Tutoriat,Master,2
1iqft5olg-1m2q01s,Tutoriat,Master,1
1iqft5olg-1g6uatl,Tutoriat,Bachelor,1
1iqft5olv-ueifog,Web Technologies,Bachelor,2
