id,name,degree,year
1iqfsl8hb-md63i5,1A,Bachelor,1
1iqfsl8hb-pecjsd,1B,Bachelor,1
1iqfsl8hb-1drjj22,1E,Bachelor,1
1iqfsl8hb-jgv3ap,1X,Bachelor,1
1iqfsl8hb-i5e00j,2A,Bachelor,2
1iqfsl8hb-107rmcg,2B,Bachelor,2
1iqfsl8hb-h0ugms,2E,Bachelor,2
1iqfsl8hb-i4pd9a,2X,Bachelor,2
1iqfsl8hb-1jdvmt1,3A,Bachelor,3
1iqfsl8hb-n0orgf,3B,Bachelor,3
1iqfsl8hb-1r2iif5,3E,Bachelor,3
1iqfsl8hb-o8u73v,3X,Bachelor,3
1iqfsl8hb-qe5pn3,1IAO,Master,1
1iqfsl8hb-1oihq6b,1ISS,Master,1
1iqfsl8hb-15tddc0,1LC,Master,1
1iqfsl8hb-p7haru,1SAI,Master,1
1iqfsl8hb-28fukc,1SD,Master,1
1iqfsl8hb-mfcb7,1SI,Master,1
1iqfsl8hb-1ojngh7,2IAO,Master,2
1iqfsl8hb-1t5u5t0,2ISS,Master,2
1iqfsl8hb-u1m36s,2LC,Master,2
1iqfsl8hb-1878rof,2SAI,Master,2
1iqfsl8hb-njah4q,2SD,Master,2
1iqfsl8hb-12nvs83,2SI,Master,2
