id,teacher_id,discipline_id
1iqg6ngls-6ocedu,1iqg6n6fv-1rvebe7,1iqft5n8t-15c8ire
1iqg6ngrf-19n6l7o,1iqg6n6fs-1bppri5,1iqft5nck-1dv5idm
1iqg6ngrs-1f8r9so,1iqg6n6fs-jsns7s,1iqft5n9u-1ccssie
1iqg6ngrs-1mml4bu,1iqg6n6fs-12rq9ut,1iqft5n9u-1ccssie
1iqg6ngrs-9f5d46,1iqg6n6fs-h8rjdh,1iqft5n9u-1ccssie
1iqg6ngru-1cmg6q9,1iqg6n6g2-1tu1uoe,1iqft5nas-39i085
1iqg6ngs1-1g2aigv,1iqg6n6fr-1e75bkj,1iqft5n9d-5ta0va
1iqg6ngs1-1o1u92n,1iqg6n6fs-s9hapt,1iqft5n9d-5ta0va
1iqg6ngs4-1ssk62s,1iqg6n6fu-1k3fvep,1iqft5nc3-kubhtl
1iqg6ngs9-p5dge3,1iqg6n6g0-1j0g3ki,1iqft5nbd-1d8imb1
1iqg6ngsa-19j4njq,1iqg6n6g0-9tla4g,1iqft5og9-cui5tn
1iqg6ngsj-1dcod8,1iqg6n6g0-1nfvorq,1iqft5ngs-52v8qh
1iqg6ngsj-h4atgq,1iqg6n6g2-1oe8rkc,1iqft5ngs-52v8qh
1iqg6ngsj-imo5ug,1iqg6n6g0-35b80b,1iqft5ngs-52v8qh
1iqg6ngsj-5i0dpo,1iqg6n6fs-1kg124n,1iqft5ngs-52v8qh
1iqg6ngsm-ijpqko,1iqg6n6fr-1p3ga8l,1iqft5ngc-ig2d0m
1iqg6ngsp-1jub3d7,1iqg6n6g0-1v66i8s,1iqft5nhd-15a4dpq
1iqg6ngsu-f14pqs,1iqg6n6g0-8r8mpa,1iqft5ndq-klql39
1iqg6ngsu-1bgdrjo,1iqg6n6g0-156sbit,1iqft5ndq-klql39
1iqg6ngsv-1bqllq6,1iqg6n6g1-157nekt,1iqft5ndq-klql39
1iqg6ngsv-1asdhae,1iqg6n6fs-ehahtb,1iqft5ndq-klql39
1iqg6ngsv-7ejn3p,1iqg6n6g0-1cr8mq1,1iqft5ndq-klql39
1iqg6ngsv-19daki1,1iqg6n6g1-sshldq,1iqft5ndq-klql39
1iqg6ngtf-1jipijr,1iqg6n6g2-1u34pb2,1iqft5nff-demgt5
1iqg6ngti-dd0keu,1iqg6n6ft-ou64f0,1iqft5nec-klpmip
